,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72,m74,m76,m78,m80,m82,m84,m86,m88,m90,m92,m94,m96,m98,m100,m102,m104,m106,m108,m110,m112,m114,m116,m118,m120,m122,m124,m126,m128,m130,m132,m134,m136,m138,m140,m142,m144,m146,m148,m150,m152,m154,m156,m158,m160,m162,m164,m166,m168,m170,m172,m174,m176,m178,m180,m182,m184,m186,m188,m190,m192,m194,m196,m198,m200
m3880,,,,,,,,,,,,0.3402087,,,,0.6728779,0.8021416,0.887065,,,,,0.4727435,,0.8289917,0.9820514,,,0.8320653,,,,,,1.0,0.9232807,,,,,,,,,,,0.8048593,,,,,,,,0.4551692,0.1760461,,,,,,,,,,,,,,,,0.5786304,,0.4905813,,,0.4835936,,,,0.7353845,0.912067,,0.0219702,,,,,,,,,,,0.3904244,,0.8082736,0.4831856,0.6619946,
m3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3882,0.5260124,0.5570712,0.4562837,0.4932576,0.4226669,0.5278689,0.4122934,0.4152807,0.5001206,0.6061122,0.5480244,0.5398577,0.4104456,0.7313388,0.8176714,0.5251122,0.4970276,0.5333298,0.5514146,0.0645772,0.4067771,0.5011618,0.3959331,0.4330063,0.4605769,0.5406219,0.2846387,,0.3699589,0.6665758,0.5367165,0.4682139,0.4443553,0.5107328,0.5165436,0.3820413,0.3922243,0.5599071,0.3000697,0.5000959,0.5384487,,0.590118,0.5054571,,0.5197949,0.5659321,0.4456447,0.4113642,0.7040985,0.3816765,0.5628519,,,0.4395867,0.5258121,,0.3326785,0.6202085,0.4894385,0.6751859,,0.3155245,,,0.5692428,,,,0.4813785,,0.4312922,,0.4147674,0.4298357,0.1847921,0.3718411,0.7411189,0.5929277,0.6284442,0.4973498,0.682808,0.5954689,0.5350706,0.5552803,0.6175538,0.2925132,0.1666769,,0.5467418,0.377617,0.8183452,0.5204459,0.4609059,0.4923642,,0.510558,0.5848228,0.5041998,0.248495
m3883,0.1895961,,,0.3894261,,,,,,,,0.7380558,,0.8456273,,0.6210885,0.3903473,0.3776929,,,,,,,0.4221673,0.7618968,,,,0.357476,,,,,0.6375088,,,,,,,,,,,,,,,,,,,,0.5904633,,,,,,,,,,,,,,,,,0.3544821,,,,,,,,,,,,,,,,,,,,,,,,,,0.7011531,,
m3884,0.6189197,0.8558523,0.5735979,0.5515798,0.4564294,0.7444432,0.5674042,0.429997,0.6700778,0.8949487,0.5771434,0.6545764,0.5200935,,0.9673373,0.3223212,0.2538139,0.2297736,,,,0.9315946,,0.4556164,0.2231252,0.3952539,,,0.4480502,0.4901658,0.1943963,,,,0.6193822,,0.9473998,0.9335055,,0.5517257,0.0624083,,0.9134435,0.9476567,,0.5610199,0.4781346,,,0.7980998,,0.7146222,,,0.2309783,0.3748751,,,0.7983548,,0.7581316,,0.6800233,,,0.8510326,,,,0.6895877,,0.4927928,,,0.2460463,,0.1512792,,0.6127392,0.8040191,0.2127053,0.3927498,1.0,0.7651754,0.67611,0.8519683,0.8241916,0.2273086,,0.5055584,0.9502658,0.8065523,0.8142839,,,,,0.6810487,0.8701076,
m3885,0.4676468,0.1997063,0.7728304,,0.9002024,0.6637778,,0.5415452,0.0138432,,,0.8630269,,0.2624806,,0.6299745,0.328783,0.428007,,,,0.1124891,0.4360583,0.6822351,0.4400812,0.6817647,,,0.7668093,0.6270992,0.8135779,0.4510357,,,0.4666318,0.0654147,0.4802779,,,,,,,,,,0.4792363,,,,,0.5021235,,,0.377424,,,,0.5081825,,0.621848,,,,,,,,,0.8687265,,0.5585416,,,0.3941145,,,,0.6413712,0.5641169,0.130864,0.9299587,,0.4686489,0.5750266,0.9030949,,0.6656535,,0.0098313,,,,,,,0.7342308,0.7432275,0.658494,
m3886,0.3125727,0.7416115,0.5122848,0.3427829,0.8382903,0.5928964,0.6812354,0.281701,0.7768646,0.4212811,0.5621446,0.5723444,0.8223565,0.0985887,,0.4487176,0.2873096,0.2381116,,,0.3357358,0.5456605,0.7757735,0.5159909,0.430276,0.5210708,,,0.3411728,0.5476942,0.9260302,,0.7392832,,0.348546,0.116459,0.9677014,0.3802372,0.8548024,0.0025297,0.4448903,,0.5055427,0.4881645,,0.9685348,0.5928407,,,0.5421695,,0.5137103,,,0.4277259,0.7641073,,,0.809952,,0.7408624,,,,,0.8769166,,,,,,0.5260562,,0.59239,0.4631374,,0.5179148,,0.2494164,0.54472,0.3504199,0.3605382,0.8536582,0.7072407,0.295086,0.5370843,,0.5955541,,0.6044267,,0.0038869,0.2662422,0.3465032,0.1520103,,0.3360251,0.5136165,0.5380621,
m3887,,,,,,,,,,,,,,,,,0.6503662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5296246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3889,0.6276327,1.0,0.7236755,0.4924565,0.4339696,0.8165751,0.2990026,0.3967006,0.7075367,0.5965308,0.3562686,0.6197384,0.5042006,0.3281463,0.4019751,0.3188949,0.2101354,0.2038247,0.6588172,,0.8657563,0.7421989,0.5841171,0.5849176,0.2580912,0.3145836,,,0.4630791,0.7150998,0.583827,0.980477,0.8544616,0.5686498,0.6366052,0.63528,0.7261611,0.7626479,0.7620744,,0.0532307,,0.4487883,0.7537744,,0.5015764,0.3700704,,,,0.7143004,0.6719477,,,0.3324605,0.5906249,,0.0201444,0.6383045,,0.6069732,,0.7855497,,,0.8143807,,,,0.7610071,,0.5956172,,0.9292338,0.2436863,0.5401785,0.5451493,,0.5833999,0.8100533,0.3421663,0.4308407,0.5481362,0.7441978,0.6956884,0.7970442,0.9286791,0.2170502,,0.3043487,,0.1626082,0.6110468,0.4649661,0.4729015,,0.2884632,0.6151002,0.5241449,
m389,0.0363882,0.3830317,0.5702337,,,0.0915062,0.043691,0.2879641,,,0.6122461,0.5002776,,0.6646196,0.0871546,0.681349,0.5233181,0.5469972,,,0.4673821,,0.5691507,0.4473676,0.5721249,0.578311,,,0.4321594,0.3965996,0.7930098,,,0.542717,0.7441265,0.5404462,,0.2207587,,0.0337141,0.5781166,0.5820096,0.2676154,,,0.5612512,0.516171,,,0.053525,,0.3530437,,,0.4260692,,,,,,,0.3218553,,,,,,,,0.4041117,,0.4983006,,,0.4821037,,0.6968416,0.4840034,,0.0446374,,0.5901872,0.5234846,0.4743264,,0.4174496,,0.6061409,,,,,,,0.6945009,,0.1819545,0.600509,0.3694086,
m3890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3891,0.6383478,,,,,,,,,,,0.9671376,,,,,0.0841228,,,,,,,,,,,,,0.5475326,,,,,0.7928335,,,,,,,,,,,,,,,,,,,,0.2603316,,,,,,,,,,,,,,,,,,,,,,,,0.5501056,,,,,,,,,,,,,,,,,,,,,
m3892,0.6256214,,0.4263627,0.6052284,0.8218956,,,,,,0.3866322,,,,,0.8434637,0.1720681,0.2058474,,,,0.1139804,,0.1734147,0.6345847,0.2218946,,,0.4263627,0.6819179,,,,,0.7558078,,,1.0,,,,,,,,,0.409031,,,,,0.1387497,,,0.5656344,0.5848194,,,,,,,,,,,,,,,,0.9152036,,,0.171198,,0.1932559,,0.3298897,0.6840602,0.2488994,,,,,,,,,0.6020167,,,0.8500736,,0.3082262,,0.409031,0.9275108,,
m3893,0.4673005,0.5280428,0.5318197,0.3561779,0.5244708,0.3821148,0.5478078,0.5481777,0.4359346,0.3362303,0.5618419,0.4830848,0.4411458,0.3921244,0.6673629,0.5594636,0.4881335,0.5428746,0.2322765,0.2812551,0.4439625,0.5105803,0.3673297,0.5010531,0.5073893,0.5261141,0.061177,,0.4491486,0.5033004,0.5200275,0.3948814,0.454321,0.853669,0.5079455,0.518253,0.4378332,0.4114315,0.6959283,0.5197571,0.4551737,0.7531045,0.4972903,0.4463806,,0.6246483,0.6427125,0.8310525,0.4532102,0.4782818,0.4590329,0.4725444,0.7383595,,0.5325871,0.5457674,0.3692775,0.2060496,0.7157153,,0.4438341,0.6176604,0.4666495,0.1463266,,0.4840511,,0.3762751,,0.7054398,,0.5692516,,0.1512713,0.5112497,0.4489047,0.3935528,0.6469083,0.292236,0.3908642,0.4420876,0.5191306,0.2590795,0.3870617,0.4236589,0.4777203,0.4296598,0.5354086,0.3820595,0.4830047,0.5057129,0.5751299,0.5039211,0.4778471,0.6028741,,0.5481387,0.4335667,0.4890596,0.4296535
m3894,0.6943023,,0.6073617,0.6772596,0.1983239,,0.9414705,0.491048,,0.7310932,,0.6922926,,,,0.3856237,0.757477,0.5140969,,,,0.6184654,0.1284891,0.0798646,0.4946556,0.5193751,,,0.9305835,0.9518526,0.4293838,,,,0.6415368,,,,,0.5395146,,,,0.0671056,,,,,,,,0.3985314,,,0.2093612,0.4834139,,,,,,,0.7028534,,,,,,,,,0.3182679,,,0.3684606,,0.5769271,,0.8341989,0.3982395,0.9685958,0.8515162,,0.4614141,,0.9804912,,0.384881,,0.1641009,,,,,0.19726,,0.7502881,0.5681773,0.3230169,
m3895,0.7649875,0.6933464,0.431813,0.6791578,0.441943,0.7281926,0.2246998,0.3725008,0.6275171,0.7608209,0.6404284,0.6398573,0.314428,0.3793934,0.4523388,0.2577711,0.2735109,0.2160974,0.8179,0.0584411,0.7916568,0.789591,0.6112453,0.5641821,0.2366426,0.4474909,,,0.3883508,0.7775996,0.2658391,0.8645165,0.7680423,,0.6390294,0.3022462,0.7547111,0.8057923,0.7506743,0.1456246,0.5170937,0.9518882,0.7196316,0.7562019,,0.5998354,0.3245304,,0.9686787,0.5788756,0.7012505,0.2982197,,,0.2605731,0.4795554,0.4983206,0.0327919,0.6775002,,0.531154,,0.6653038,,,0.8113551,,,,0.4283176,,0.6238525,,0.6219737,0.2299281,0.5965214,0.2763061,0.8515495,0.625284,0.8250697,0.3390944,0.6581707,0.6828389,0.6491041,0.7577915,0.7709953,0.8941638,0.1986096,,0.5297167,0.7592416,0.2537197,0.7731855,0.6099143,0.4301932,,0.5317718,0.8052602,0.5318958,0.8926843
m3896,0.4775583,0.4869497,0.6636902,0.5349195,0.6452134,0.3386112,0.5192023,0.553094,0.6570301,0.2108967,0.4707198,0.6009359,0.4840851,0.473204,0.3093234,0.5411021,0.4804096,0.4981595,,0.0744693,0.4879689,0.4752024,0.7691736,0.4884681,0.4878082,0.4458517,,,0.4972695,0.3844078,0.5726001,0.8485473,0.3754036,0.6563961,0.5260371,0.400392,0.7939861,0.525777,0.4832448,0.185757,0.7735006,0.9451915,0.5710779,0.2983056,,0.5217979,0.7306881,0.1605575,0.3211794,0.5499205,0.3727192,0.5807783,,,0.5184382,0.5323535,0.7598394,,0.7301556,,0.2475203,0.4783122,0.1959461,,,0.2275078,,,,0.6996267,,0.4646806,,0.6997473,0.4921326,0.5919229,0.4690118,0.5413456,0.3950008,0.4460362,0.4489293,0.3985338,0.6450115,0.3845489,0.5115932,0.4593285,0.2606794,0.4436861,0.6346999,0.6944312,0.7876117,0.3256734,0.5215074,0.466351,0.4697563,,0.3002161,0.586871,0.529975,
m3897,0.3330788,0.3239763,0.6095565,0.1500451,0.4856272,0.1730504,0.5538624,0.6740938,0.4813333,0.1521,0.3874703,0.3280692,0.5579445,0.6879777,0.6476867,0.6657551,0.6366469,0.6675547,0.1035674,0.5636897,0.2823186,0.2898255,0.3238031,0.3286468,0.78438,0.64846,0.0914379,,0.670414,0.3547944,0.5590562,0.2329118,0.1912851,0.5512828,0.3991533,0.5759618,0.2072439,0.2028992,0.4671165,0.6515611,0.5805192,0.2223017,0.4074699,0.2857344,,0.2260216,0.7626607,0.5613985,0.1394183,0.2989404,0.1703347,0.4573214,0.8383277,,0.6760142,0.4788507,0.4347798,0.8728607,0.4249547,,0.2915681,0.1934214,0.1702021,0.6345403,,0.2240898,,0.3082135,,0.3647902,,0.4942923,0.2961391,0.3334812,0.7211759,0.4623262,0.5978138,0.4847527,0.2535217,0.1489248,0.5698678,0.5041043,0.2203972,0.2449995,0.2758897,0.2740343,0.099981,0.6097535,0.1378839,0.5692419,0.2888025,0.5025549,0.2874972,0.4132791,0.4481001,,0.6381111,0.2302678,0.4111942,0.1072142
m3898,0.8535543,0.6624849,0.4884722,0.3381909,0.5486137,0.349237,0.4362661,0.1894854,0.5015829,0.7569563,0.2952343,0.7482669,,,,0.2718074,0.3414532,0.3061809,0.7930594,,0.5333435,0.5852675,0.5800832,0.3138027,0.2401392,0.5278476,,,0.2412482,0.7427558,0.4169935,,,,0.7243474,,,0.7473268,0.9789537,,,,0.6714548,0.9108099,,0.5409236,0.4827994,,,0.7890144,0.8784352,0.4786545,,,0.2981154,0.4558757,,,0.7675161,,0.6843073,,0.7414837,,,,,,,0.2815208,,0.353907,,,0.1623118,,,,0.5645166,0.8644174,0.3776483,0.5476086,,0.7494743,0.7943548,0.5198793,0.8523062,,,0.3039822,,,0.7278101,0.5610162,,,0.1395428,0.7294507,0.5217035,
m3899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m39,0.4778519,0.427567,0.5194005,0.5207128,0.5344603,0.3940709,0.5359603,0.5141347,0.4030296,0.4638449,0.5562779,0.5449119,0.4535403,0.6693989,0.454481,0.5047887,0.5954494,0.5207374,0.2851417,0.8019807,0.4814634,0.4759492,0.3735457,0.4695054,0.537685,0.5173869,0.4724581,0.5272261,0.5195429,0.4783986,0.4597697,0.3171509,0.4098996,0.4586136,0.4830853,0.5403953,0.3792278,0.5800077,0.5895804,0.5828008,0.5148429,0.3228825,0.3751064,0.4474158,,0.400535,0.5187346,0.5696671,0.4616908,0.3849034,0.3475301,0.4901778,0.1334569,0.623982,0.4909651,0.4826677,0.4661528,0.7435679,0.2991199,,0.4916117,0.1807202,0.3545222,0.893159,,0.4353501,,0.4617013,,0.4572085,,0.410285,0.0607478,0.3215198,0.5440107,0.3827191,0.4839612,0.5469541,0.4504902,0.4419212,0.5092622,0.4913541,0.3588453,0.3790409,0.5177246,0.4213379,0.4668241,0.548579,0.3292765,0.5018664,0.3441168,0.3324535,0.4183994,0.5292253,0.5003919,,0.4979836,0.5032762,0.4167321,0.1492839
m390,0.5496747,0.3031885,0.5491422,,0.4243959,0.1954048,0.5834591,0.7624686,0.3179497,,0.2337961,0.1913074,,0.8079821,0.753116,0.5456685,0.4975598,0.4375717,,,0.3497902,0.331614,0.3863376,0.4391412,0.5269199,0.6655122,,,0.4611184,0.5400053,0.3751171,0.0116552,0.1078486,0.443352,0.5108336,,0.0696038,0.5942091,0.6882774,0.722317,,,0.4733597,0.1442371,,0.4432385,0.7262528,,,0.573651,,0.4923549,,,0.3919523,0.5258915,,0.8781254,0.3163072,,0.2696304,,0.4917643,,,0.7659773,,,,0.1212065,,0.3551984,,,0.4728766,0.2656292,0.6255199,0.4463089,0.7122366,0.3788001,0.5922315,0.3839122,0.3861525,0.2464198,0.3135132,0.3562994,,0.4169066,,0.7243153,,,0.4671628,0.3086449,0.4869515,,0.5342785,0.4519519,0.6881701,
m3900,0.594842,0.8171366,0.4834467,0.5213424,0.2638811,,,0.3424626,0.4611167,,0.5612593,0.5993318,,0.4050799,,0.4475088,0.2939237,0.2910056,,,,0.6917834,0.7520924,0.515179,0.258922,0.6844633,0.9460142,,0.4133039,0.6966636,0.552373,0.1785375,,,0.6137858,0.3038233,0.9555583,0.1029946,,0.0374302,0.1483488,1.0,0.7886288,0.6526873,,,0.6300831,,,0.1185359,0.4832331,0.6290687,,,0.4537084,0.4645732,,,,,0.3706807,,0.6217216,,,,,,,0.856315,,0.8311351,,0.3201671,0.2050402,,0.1845223,,0.7431172,0.4724373,0.3657512,,0.895922,0.9259691,0.1921268,0.5158917,0.8554538,0.6111991,,0.7794659,0.9173311,,0.5076122,,0.4527455,,0.1755557,0.6366054,0.5606147,
m3901,0.6311361,0.7531526,0.5160155,0.3653694,0.4272037,0.8387145,0.3919349,0.3412824,0.7184715,0.5307804,0.6173467,0.7075847,0.5659161,0.2460813,,0.3397049,0.3519736,0.3796996,0.7391699,,0.6269917,0.6596919,0.8054115,0.7887944,0.2710856,0.4791224,,,0.3762476,0.5768729,0.5292032,0.8773289,0.7826421,0.6687397,0.6586472,0.427437,0.853432,0.6335207,,0.218105,0.5380974,0.8727464,0.6188568,0.708792,,0.6713088,0.51358,,,0.4671315,0.6965324,0.6036341,,,0.383892,0.4461473,,,0.5585572,,0.7387805,,0.7308374,,,0.8343003,,,,0.6609777,,0.6654137,,0.5022568,0.3387475,,0.0208795,0.5106766,0.7260302,0.7318657,0.4463936,0.5160006,0.8627844,0.5172083,0.6757167,0.6135187,0.6273359,0.7316057,0.9365703,0.5308405,0.9356723,,0.5599326,0.6629772,0.1436203,,0.2083807,0.6999572,0.5028059,0.89055
m3902,0.2105704,,0.1974881,,0.6116264,0.8376759,0.3727243,0.2447556,0.9032158,0.756135,0.4491421,0.6524379,0.5293885,,0.1967824,0.5092185,0.3346004,0.2056312,,,0.5803587,0.7917535,0.5690225,0.803926,0.2121352,0.7051775,,,0.4971722,0.30984,0.9113989,,,,0.7837406,,0.9591102,0.0252546,,0.0165082,0.220577,,,,,1.0,0.5773842,,,,,0.5089187,,,0.3569757,0.554334,,,,,,,,,,,,,,0.8717078,,0.7869555,,,0.1472762,,0.5904392,0.2393574,0.502639,0.8403319,0.1427188,0.3261997,,0.7925879,0.5076427,0.6919081,,0.3166375,,,,,,,0.0586702,,0.2179726,0.708074,0.718405,
m3903,0.3581065,0.4969419,0.6479216,0.1742188,0.5728278,0.5226886,0.4378095,0.3277386,0.5601389,,0.4264316,0.4932036,0.6860097,0.6856347,0.1767187,0.6675781,0.4682835,0.5221062,,,0.3914658,0.2628751,0.8901875,0.2369513,0.457303,0.6320537,,,0.4041039,0.3085401,0.7396324,0.5893879,,0.9067984,0.6338511,,0.62178,0.2509795,,,0.3231915,0.8697507,0.5820472,,,,0.8060306,,,0.1718409,,0.2750144,,,0.5262904,0.5494108,,,0.3516189,,0.3009683,,,,,,,,,0.2758145,,0.7048925,,,0.3444033,0.4315228,0.4393422,0.8331613,0.3825307,0.4619663,0.3796241,0.5187351,0.6897356,0.5347948,0.2583452,0.3861812,0.0326666,0.3964386,,0.6391137,,,0.4518227,,0.5640573,,0.3457586,0.5057128,0.5684821,
m3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3905,0.7502535,,,,0.495867,,,,,,,0.3435682,,,,0.5692705,0.7592145,0.3777531,,,,0.8364547,,,0.3537171,0.0301735,,,0.7576944,,,,,,0.9057998,,,,,,,,,,,,,,,,,,,,0.1917185,,,,,,,,,,,,,,,,,,,,0.5167266,,,,,,0.1316211,,,,,0.7338112,,,,,,,,,,,,0.7502535,0.341293,
m3906,0.5708192,,0.2447656,0.702242,0.7273367,,0.9266806,0.3702321,0.6761708,0.8975861,0.6449176,0.4349212,,0.7356125,,0.3367104,0.386351,0.319586,,,0.9558006,0.6790266,,0.7485609,0.2569988,0.4287149,,,0.1940704,0.2309605,0.3959049,,,,0.2195378,0.2884475,,,,,0.315239,,0.3145266,0.8142146,,,0.2886824,,,0.490065,,0.3471815,,,0.3110786,0.6525392,,,,,0.3672089,0.9141325,,,,0.8411826,,,,0.6581561,,0.2963362,,,0.2151641,0.6338431,0.9104274,0.3848567,,0.8593223,0.3732337,0.4733255,0.6359289,0.9289239,0.8222422,0.6768345,,0.231496,,0.1646108,,,0.6722492,0.8579649,0.6771469,,0.4105029,0.7860905,0.7225776,
m3908,0.726469,0.8304966,0.2899817,0.7233539,0.6008197,0.6531048,0.7448568,0.3540006,0.3896796,0.8236929,0.6432844,0.6401002,0.2362022,,0.7250701,0.2612502,0.1977289,0.2229658,,,0.6282234,0.7008688,0.7839546,0.5587346,0.1829088,0.4446976,,,0.1486969,0.3750686,0.3415315,,0.3038155,,0.5720121,,0.7619282,0.8490234,,,,,0.7475152,0.3281112,,0.6220953,0.2750519,,,0.8465492,0.9713882,0.4324754,,,0.2141773,0.2225331,,0.2803129,0.6990074,,0.6535075,,0.7663089,,,0.864537,,,,0.7661883,,0.6014796,,,0.2320157,0.4055704,0.0678364,0.9759368,0.7008794,0.7487383,0.3785306,0.727384,0.4938229,0.7049214,0.6998415,0.6423859,0.7560126,0.2032514,,0.4251806,,0.6828064,0.7160464,0.6767804,0.4396833,,0.3623656,0.8561987,0.5191849,
m3909,0.4210125,0.7697431,0.3522896,0.2963946,0.5087672,0.9135257,0.523377,0.6181173,0.1381268,0.8931459,0.5136582,0.7839194,0.1651501,0.3604551,,0.3445913,0.4073049,0.4211235,,,0.5622978,0.6849479,0.7178659,0.469295,0.2232236,0.5033581,,,0.3368921,0.683663,0.5491503,0.9591183,,0.9137065,0.6135061,0.2100354,0.9041369,0.6961298,,0.1913903,0.1809282,,0.7445747,0.7067307,,0.8817131,0.4659324,,,,0.9286466,0.537171,,,0.3007018,0.558046,,,0.5574246,,0.7804806,,,,,,,,,0.70566,,0.5114544,,0.1335148,0.2482818,,0.1123776,,0.5734288,0.6988901,0.3991302,0.4813299,0.9567658,0.7581368,0.7931661,0.8757663,0.5136994,0.0153187,,0.5181336,0.7249313,,0.7356672,0.3106737,0.7116662,,0.246063,0.6849422,0.7671917,
m391,0.5157389,0.7117925,0.3949264,,0.2896312,0.7206804,0.6615692,0.1584548,0.2814742,0.3515558,0.7916166,0.8400408,,,0.2742706,0.5854827,0.5029708,0.483331,,,0.5122227,0.5055122,0.6013001,0.489926,0.3194781,0.4306992,,,0.6097382,0.7477354,0.5196425,,0.6975661,0.412878,0.5147493,,0.8417448,0.4427664,0.4589938,,0.8894312,,0.2081819,0.7368145,,0.7877263,0.4597103,,,0.7703165,0.7171661,0.6681953,,,0.4283847,0.5821493,,,0.791304,,0.5192122,,,,,0.6692917,,,,0.8548706,,0.2265729,,,0.5433888,,0.2009791,,0.3512644,0.6213805,0.3691989,0.4985944,,0.2762924,0.7231376,0.7206374,,0.2822616,,0.3302256,,,0.4031828,0.1179246,,,0.7863585,0.6772962,0.7525371,
m3910,0.3414083,0.4172309,0.4494536,0.7188053,0.3566145,0.0824274,0.6588873,0.5284559,0.4216144,0.1518038,0.4535783,0.4879764,0.2363825,0.5921672,0.5672542,0.6433182,0.496632,0.6312823,,0.6359138,0.112508,0.2356825,0.4132242,0.3543619,0.5958819,0.4777408,0.0784802,,0.5531691,0.5218233,0.5117913,0.4601213,0.0110893,0.4377528,0.5004688,0.6132842,0.4848611,0.1325876,0.5643741,0.2519793,0.626834,0.7524007,0.3344816,0.5699747,,0.6303825,0.4381223,,0.4529817,0.4450521,0.4657614,0.4665429,,,0.5713372,0.5183582,0.5314,0.9205222,0.6173297,,0.5102596,0.290868,0.2363611,0.7044751,,0.0381368,,0.8312621,,0.4400931,,0.6192806,,0.5952263,0.4369426,0.5349027,0.6121911,0.4823806,0.3642499,0.2944955,0.4841541,0.3610499,0.3953477,0.2615944,0.6268185,0.2586973,0.3821134,0.6307062,0.812485,0.605476,0.5155389,0.4184923,0.396224,0.3524994,0.5234053,,0.6680914,0.5343412,0.4966752,
m3911,0.4052147,0.2715564,0.5221624,0.1092347,0.4919681,0.3477848,0.6556485,0.6494718,0.4224305,0.2973838,0.4687218,0.3481601,0.5344846,0.619842,0.732802,0.6786441,0.599545,0.6388271,0.1616486,0.7565873,0.4346515,0.4243122,0.3701214,0.3031273,0.7075187,0.5759087,0.2317673,,0.6036749,0.4128312,0.506507,0.3848781,0.2498621,0.509757,0.3854317,0.4787238,0.239238,0.2891134,0.5361497,0.7166585,0.576738,0.3635311,0.408755,0.3429518,,0.3315743,0.6165489,0.832892,0.159287,0.4165037,0.3065997,0.5259734,0.9864786,0.3579746,0.6147068,0.5412321,0.3563999,0.8359468,0.3591117,,0.2902916,0.5052,0.3164576,0.9667006,,0.3307285,,0.6773631,,0.2162843,,0.3675149,0.5799216,0.3406109,0.6104882,0.291999,0.5807387,0.6235207,0.3997328,0.1954997,0.6872373,0.5103556,0.3757439,0.3782233,0.3763735,0.3162135,0.239934,0.5931219,0.5461222,0.4871822,0.3837439,0.6067198,0.2834742,0.4124548,0.4877643,,0.6561852,0.3133123,0.4680906,0.1949862
m3912,0.7374573,0.8278869,0.6511306,0.8260693,0.433869,,0.3735233,0.2212413,,0.8686657,0.5485541,0.724336,0.1968728,0.1542041,0.4219993,0.2784184,0.1516093,0.2170754,,,0.5292373,0.4897094,0.3873369,0.8635207,0.1622535,0.3180525,1.0,,0.2578651,0.6362444,0.4553931,0.2159616,,,0.4313137,0.1201074,0.9613757,0.7060988,,,0.1360891,,0.6795161,,,0.8173884,0.2451833,,,,,0.4657049,,,0.2534718,0.0755474,,,0.7549956,,0.6441869,,,,,,,,,0.811637,,0.6604654,,0.3877802,0.1561443,,0.1455712,,0.7362632,0.9223146,0.3562572,0.7499188,0.7769725,0.8896869,0.6975711,0.8564712,0.9672804,0.1366301,,0.3280129,0.9428618,,0.7096533,0.964582,0.5701629,,,0.8162382,0.6016765,
m3913,0.565544,0.6589705,0.718668,0.7426182,0.316243,,,0.4529014,0.3035035,0.5239211,0.5471979,0.9323961,,,,0.3982588,0.4688928,0.411381,,,0.1667185,0.4405497,1.0,0.2303318,0.5286066,0.7970149,,,0.6890182,0.8771592,0.8186678,,,,0.7145479,,0.5131614,0.8566315,,,0.6368897,,0.0386948,0.3778966,,0.6923055,0.5959417,,,0.0339117,0.931537,0.5168543,,,0.3358458,0.3085748,,,,,0.0738916,,,,,,,,,0.6470391,,0.7104628,,,0.565451,,0.1581312,0.3644418,0.5034649,0.4386214,0.2209607,0.560886,0.2366317,0.3985746,0.4746189,0.444309,0.3202808,0.3789221,,0.6020979,,,0.1528522,,,,0.6071301,0.8225102,0.4219323,
m3914,0.4038832,0.5627115,0.6077234,,0.3029433,0.4725197,0.1431115,0.3218886,0.682223,0.2685826,0.4436776,0.7531341,0.2471029,0.5855161,0.3263531,0.5718352,0.4829065,0.5161324,,,0.1901136,0.6630064,0.7993945,0.4748882,0.4325914,0.4633524,,,0.630539,0.502359,0.8564132,0.4878323,,,0.4844155,0.3926914,0.7353131,0.5996927,,0.1424409,0.6493833,0.7335155,0.4869375,0.090162,,0.7446601,0.4428937,,,0.1253661,0.5042931,0.3834586,,,0.5268679,0.5173865,,,,,0.4271808,,,,,,,,,0.7272979,,0.4791863,,0.6385815,0.4865509,0.4620092,0.5602498,,0.5522223,0.5694905,0.361626,0.7481419,0.5245014,0.4606665,0.3746378,0.4621559,0.4790166,0.5973935,0.5237004,0.58716,,0.0093906,0.2758342,0.5577256,0.2978093,,0.3314928,0.5375427,0.3029901,
